Open Time,Open,High,Low,Close,Volume,Close Time
1783762440000,4109.57000000,4109.57000000,4109.57000000,4109.57000000,0.00000000,1783762499999
1783762500000,4109.57000000,4109.57000000,4109.57000000,4109.57000000,0.00000000,1783762559999
1783762560000,4109.58000000,4109.58000000,4109.58000000,4109.58000000,0.00000000,1783762619999
1783762620000,4109.58000000,4109.58000000,4109.58000000,4109.58000000,0.00000000,1783762679999
1783762680000,4109.58000000,4109.58000000,4109.58000000,4109.58000000,0.00180000,1783762739999
1783762740000,4109.57000000,4109.57000000,4109.57000000,4109.57000000,0.02550000,1783762799999
1783762800000,4109.58000000,4109.58000000,4109.58000000,4109.58000000,0.00000000,1783762859999
1783762860000,4109.57000000,4109.57000000,4109.57000000,4109.57000000,0.00000000,1783762919999
1783762920000,4109.65000000,4109.65000000,4109.65000000,4109.65000000,0.03210000,1783762979999
1783762980000,4109.65000000,4109.65000000,4109.65000000,4109.65000000,0.03350000,1783763039999
1783763040000,4109.65000000,4109.65000000,4109.65000000,4109.65000000,0.00000000,1783763099999
1783763100000,4109.65000000,4109.65000000,4109.65000000,4109.65000000,0.00000000,1783763159999
